NO,DISTRIK,RESORT,HURIA,Total Input Januari 2023,Total Terima Januari 2023,Target Januari 2023,% Januari 2023,Total Input Februari 2023,Total Terima Februari 2023,Target Februari 2023,% Februari 2023,Total Input Maret 2023,Total Terima Maret 2023,Target Maret 2023,% Maret 2023,Total Input April 2023,Total Terima April 2023,Target April 2023,% April 2023,Total Input Mei 2023,Total Terima Mei 2023,Target Mei 2023,% Mei 2023,Total Input Juni 2023,Total Terima Juni 2023,Target Juni 2023,% Juni 2023,Total Input Juli 2023,Total Terima Juli 2023,Target Juli 2023,% Juli 2023,Total Input Agustus 2023,Total Terima Agustus 2023,Target Agustus 2023,% Agustus 2023,Total Input September 2023,Total Terima September 2023,Target September 2023,% September 2023,Total Input Oktober 2023,Total Terima Oktober 2023,Target Oktober 2023,% Oktober 2023,Total Input November 2023,Total Terima November 2023,Target November 2023,% November 2023,Total Input Desember 2023,Total Terima Desember 2023,Target Desember 2023,% Desember 2023,Total Input Januari 2024,Total Terima Januari 2024,Target Januari 2024,% Januari 2024,Total Input Februari 2024,Total Terima Februari 2024,Target Februari 2024,% Februari 2024,Total Input Maret 2024,Total Terima Maret 2024,Target Maret 2024,% Maret 2024,Total Input April 2024,Total Terima April 2024,Target April 2024,% April 2024,Total Input Mei 2024,Total Terima Mei 2024,Target Mei 2024,% Mei 2024,Total Input Juni 2024,Total Terima Juni 2024,Target Juni 2024,% Juni 2024,Total Input Juli 2024,Total Terima Juli 2024,Target Juli 2024,% Juli 2024
831,Distrik V Sumatera Timur,Resort HKBP Tapian Nauli,Huria HKBP Tapian Nauli,23485275,23485275,39897000,58.86476427,15603225,15603225,39897000,39.10876758,17513375,17513375,39897000,43.89647091,34012000,34012000,39897000,85.24951751,15231150,15231150,39897000,38.17617866,19301013,19301013,39897000,48.37710354,23279300,23279300,39897000,58.34849738,24484075,24484075,39897000,61.36821064,19905330,19905330,39897000,49.89179638,28057700,28057700,39897000,70.32533774,22450725,22450725,39897000,56.27171216,41065750,41065750,39897000,102.9294183,26713500,26713500,24618871,108.5082253,17342600,17342600,24618871,70.44433516,30573950,30573950,24618871,124.1890824,28101150,28101150,24618871,114.1447551,30031100,30031100,24618871,121.9840666,28894800,28894800,24618871,117.3685016,24227780,24227780,24618871,98.41141781
832,Distrik V Sumatera Timur,Resort HKBP Tapian Nauli,Huria HKBP Semangat Baris,3035450,3035450,4603500,65.93787336,1603250,1603250,4603500,34.82676225,3182850,3182850,4603500,69.13978495,5310250,5310250,4603500,115.3524492,3568400,3568400,4603500,77.51493429,3392950,3392950,4603500,73.7037037,2902900,2902900,4603500,63.05854241,2172500,2172500,4603500,47.19235364,2877875,2877875,4603500,62.51493429,2433750,2433750,4603500,52.86738351,2595725,2595725,4603500,56.38590203,8417750,8417750,4603500,182.8554361,3659150,3659150,3756996,97.39563204,2472250,2121900,3756996,56.47863346,5010500,5010500,3756996,133.3645285,2713700,2713700,3756996,72.23057996,3086600,3086600,3756996,82.15606298,3110250,3110250,3756996,82.78555527,264550,264550,3756996,7.041529988
833,Distrik V Sumatera Timur,Resort HKBP Dolok Marlawan,Huria HKBP Dolok Marlawan,15752000,15752000,21483000,73.32309268,13438425,13438425,21483000,62.55376344,13885300,13885300,21483000,64.63389657,18767650,18767650,21483000,87.36047107,17654490,17654490,21483000,82.17888563,18241025,18241025,21483000,84.90911418,16970525,16970525,21483000,78.99513569,15582325,15582325,21483000,72.53328213,14872550,14872550,21483000,69.22939068,15132700,15132700,21483000,70.44034818,12324950,12324950,21483000,57.37071173,33739200,33739200,21483000,157.0506912,22850300,22850300,18784760,121.6427572,10708500,10708500,18784760,57.00631789,16860250,16860250,18784760,89.75493964,13094950,13094950,18784760,69.71049936,15458300,15458300,18784760,82.29170881,19639125,19639125,18784760,104.5481816,15842750,15842750,18784760,84.33831468
834,Distrik V Sumatera Timur,Resort HKBP Dolok Marlawan,Huria HKBP Kasindir,10651850,10651850,9207000,115.692951,5195850,5195850,9207000,56.43369176,5454350,5454350,9207000,59.24133811,7836400,7836400,9207000,85.1135006,5536850,5536850,9207000,60.13739546,5437850,5437850,9207000,59.06212664,7222600,7222600,9207000,78.44683393,6601925,6601925,9207000,71.70549582,2801700,2801700,9207000,30.43010753,5107300,5107300,9207000,55.47192354,4483325,4483325,9207000,48.69474313,8396575,3845875,9207000,41.77120669,5981250,4902150,7415376,66.10790876,4871075,715000,7415376,9.642127385,0,0,7415376,0,0,0,7415376,0,0,0,7415376,0,0,0,7415376,0,0,0,7415376,0
835,Distrik V Sumatera Timur,Resort HKBP Panombean,Huria HKBP Panombean,10094150,10094150,13810500,73.09040223,6177325,6177325,13810500,44.72919156,7466250,7466250,13810500,54.06212664,13575100,13575100,13810500,98.2954998,10072425,10072425,13810500,72.93309438,10887525,10887525,13810500,78.83512545,8933650,8933650,13810500,64.68737555,5974925,5974925,13810500,43.26363998,6649500,6649500,13810500,48.14814815,8248900,8248900,13810500,59.72919156,8309125,8309125,13810500,60.1652728,17614850,17614850,13810500,127.5467941,12704450,12704450,11059753,114.8710102,5981525,5981525,11059753,54.08371236,9725650,9725650,11059753,87.9373165,5762900,5762900,11059753,52.10695031,8966100,8966100,11059753,81.06962244,9500975,9500975,11059753,85.9058516,9466325,9466325,11059753,85.59255347
836,Distrik V Sumatera Timur,Resort HKBP Panombean,Huria HKBP Panombean Timur,5247000,5247000,9207000,56.98924731,4448950,4448950,9207000,48.3213859,3397350,3397350,9207000,36.89964158,7054850,7054850,9207000,76.62485066,3604150,3604150,9207000,39.14575866,4792700,4792700,9207000,52.05495818,3481500,3481500,9207000,37.81362007,3335200,3335200,9207000,36.22461171,3313750,3313750,9207000,35.9916368,4645300,4645300,9207000,50.45400239,4121150,4121150,9207000,44.76105137,8255500,7808900,9207000,84.81481481,4668950,4668950,5312141,87.89205708,3101450,3101450,5312141,58.38418069,4377450,4377450,5312141,82.40462744,2711500,2711500,5312141,51.04344934,5018750,5018750,5312141,94.47697266,4031500,4031500,5312141,75.89218735,9112565,6557100,5312141,123.4361061
837,Distrik V Sumatera Timur,Resort HKBP Panombean,Huria HKBP Marjandi Pisang,3023350,3023350,6138000,49.2562724,1787500,1787500,6138000,29.1218638,2163700,2163700,6138000,35.25089606,2756600,2756600,6138000,44.91039427,3361050,3361050,6138000,54.75806452,2641100,2641100,6138000,43.02867384,2892450,2892450,6138000,47.12365591,2046550,2046550,6138000,33.34229391,1985775,1985775,6138000,32.35215054,2437050,2437050,6138000,39.70430108,2098800,2098800,6138000,34.19354839,5115000,5115000,6138000,83.33333333,3390750,3390750,3089398,109.7543923,3217500,3217500,3089398,104.1465036,4560050,4560050,3089398,147.60319,3423750,3423750,3089398,110.8225615,3832950,3832950,3089398,124.0678605,4175050,4175050,3089398,135.1412152,3616800,3561800,3089398,115.2910697
838,Distrik V Sumatera Timur,Resort HKBP Panombean,Huria HKBP Eben Ezer,1261150,1261150,3069000,41.09318996,880000,880000,3069000,28.67383513,1311750,1311750,3069000,42.74193548,1575750,1575750,3069000,51.34408602,1646700,1646700,3069000,53.65591398,1758350,1758350,3069000,57.29390681,1949750,1949750,3069000,63.53046595,1162700,1162700,3069000,37.88530466,1510850,1510850,3069000,49.22939068,2097700,2097700,3069000,68.35125448,1728650,1728650,3069000,56.32616487,3307150,3307150,3069000,107.7598566,1630750,1630750,1722272,94.68597295,1395350,1395350,1722272,81.0179809,2505800,2505800,1722272,145.4938593,1641200,1641200,1722272,95.2927296,2292950,2292950,1722272,133.1351842,1959100,1904100,1722272,110.5574497,2123000,2013000,1722272,116.8804927
839,Distrik V Sumatera Timur,Resort HKBP Panombean,Huria HKBP Parlanggean,4148100,4148100,6138000,67.58064516,3095950,3095950,6138000,50.4390681,2819850,2819850,6138000,45.94086022,5997750,5997750,6138000,97.71505376,3267550,3267550,6138000,53.23476703,4174225,4174225,6138000,68.0062724,4847700,4847700,6138000,78.97849462,3255450,3255450,6138000,53.03763441,2947450,2947450,6138000,48.01971326,3941300,3941300,6138000,64.21146953,5206850,5206850,6138000,84.8297491,8232400,8232400,6138000,134.1218638,5320150,5320150,4702517,113.1340939,2265450,2265450,4702517,48.17526444,5612750,5612750,4702517,119.3562937,3706450,3706450,4702517,78.81842851,3856325,3856325,4702517,82.0055515,3454000,3454000,4702517,73.45002687,5344350,5344350,4702517,113.648712
840,Distrik V Sumatera Timur,Resort HKBP Sukadame,Huria HKBP Sukadame,40937050,40937050,24552000,166.7361111,26451150,26451150,24552000,107.7352151,27408700,27408700,24552000,111.6353047,33729300,33729300,24552000,137.3790323,27939450,27939450,24552000,113.797043,29325450,29325450,24552000,119.4422043,33122100,33122100,24552000,134.905914,25318425,25318425,24552000,103.1216398,24522300,24522300,24552000,99.87903226,30209300,30209300,24552000,123.0421147,21517650,21517650,24552000,87.64112903,55464200,55464200,24552000,225.9050179,42899725,42899725,36310484,118.1469379,23635425,23635425,36310484,65.0925639,47899500,47899500,36310484,131.9164459,32740400,32740400,36310484,90.16789751,35101000,35101000,36310484,96.66905018,38108950,38108950,36310484,104.9530213,22878900,22878900,36310484,63.00907473
841,Distrik V Sumatera Timur,Resort HKBP Sukadame,Huria HKBP Pargampualan,1939300,1939300,3069000,63.18996416,760650,760650,3069000,24.78494624,1005950,1005950,3069000,32.77777778,1049400,1049400,3069000,34.19354839,1268850,1268850,3069000,41.34408602,952600,952600,3069000,31.03942652,1306250,1306250,3069000,42.56272401,1114850,1114850,3069000,36.32616487,1481150,1481150,3069000,48.26164875,1384900,1384900,3069000,45.12544803,1128600,1128600,3069000,36.77419355,4672250,4672250,3069000,152.2401434,1469600,1469600,1373877,106.9673632,941050,941050,1373877,68.4959425,1505350,1505350,1373877,109.5694884,1450350,1450350,1373877,105.5662188,2201650,2201650,1373877,160.2508813,1629100,1629100,1373877,118.5768449,1114300,1114300,1373877,81.10624168
842,Distrik V Sumatera Timur,Resort HKBP Sukadame,Huria HKBP Parsaorannauli Simbolon,3518900,3518900,4603500,76.43966547,2194225,2194225,4603500,47.66427718,1696200,1696200,4603500,36.84587814,2682350,2682350,4603500,58.26762246,2152700,2152700,4603500,46.76224612,1533950,1533950,4603500,33.3213859,1878800,1878800,4603500,40.81242533,1276000,1276000,4603500,27.71804062,1707200,1707200,4603500,37.08482676,1392600,1392600,4603500,30.25089606,1758900,1758900,4603500,38.2078853,4656300,4656300,4603500,101.1469534,2872650,2872650,2597001,110.6141276,1962950,1962950,2597001,75.58526162,2521200,2521200,2597001,97.08121021,2009700,2009700,2597001,77.38541495,2068000,2068000,2597001,79.63031204,2108700,2108700,2597001,81.19750435,1623600,1623600,2597001,62.51826626
843,Distrik V Sumatera Timur,Resort HKBP Sukadame,Huria HKBP Johansen Tampubolon,7667000,7667000,16879500,45.42196155,5669400,5669400,16879500,33.58748778,6591200,6591200,16879500,39.04855002,12644225,12292225,16879500,72.82339524,8296200,8187300,16879500,48.50439883,9076650,9076650,16879500,53.77321603,12125300,12125300,16879500,71.83447377,9384650,9384650,16879500,55.59791463,9904950,8852800,16879500,52.44705116,8305550,8305550,16879500,49.20495275,7781400,7781400,16879500,46.09970674,20192700,18867200,16879500,111.7758227,13922975,12886775,10218915,126.1070769,9559000,9559000,10218915,93.54222048,18368900,18368900,10218915,179.7539171,10652950,10025950,10218915,98.11168798,13137850,13137850,10218915,128.5640403,14957250,14957250,10218915,146.3682788,10488500,10488500,10218915,102.6380981
844,Distrik V Sumatera Timur,Resort HKBP Jorlang Huluan,Huria HKBP JORLANG HULUAN,4742925,4742925,4603500,103.0286738,2738051,2738051,4603500,59.47759314,3458675,3458675,4603500,75.13142174,3792800,3792800,4603500,82.38948626,4182200,4182200,4603500,90.84826762,2760725,2760725,4603500,59.97013142,3108875,3108875,4603500,67.53285544,3840650,3840650,4603500,83.42891278,2713700,2713700,4603500,58.94862605,3007400,3007400,4603500,65.32855436,5327300,5327300,4603500,115.7228196,4946975,4946975,4603500,107.4611708,5059450,5059450,4110890,123.0743221,2108700,2108700,4110890,51.29546157,3174875,3174875,4110890,77.23084296,4709100,4709100,4110890,114.5518367,3537875,3537875,4110890,86.06104761,6535100,6535100,4110890,158.9704419,5106750,5106750,4110890,124.2249245
845,Distrik V Sumatera Timur,Resort HKBP Jorlang Huluan,Huria HKBP Marihat Huluan,2893000,2893000,3069000,94.26523297,1958000,1958000,3069000,63.79928315,1973400,1973400,3069000,64.30107527,2699400,2699400,3069000,87.95698925,1507550,1507550,3069000,49.1218638,1504800,1504800,3069000,49.03225806,2306700,2306700,3069000,75.16129032,1496550,1496550,3069000,48.76344086,1712150,1712150,3069000,55.78853047,2480500,2480500,3069000,80.82437276,2843225,2843225,3069000,92.64336918,3743850,3743850,3069000,121.9892473,2538800,2538800,2461940,103.1219282,1151150,1151150,2461940,46.75784138,2239600,2239600,2461940,90.9689107,1612600,1612600,2461940,65.50119012,2117225,2117225,2461940,85.99823716,2510200,2510200,2461940,101.9602427,2997500,2997500,2461940,121.7535764
846,Distrik V Sumatera Timur,Resort HKBP Jorlang Huluan,Huria HKBP Gunung Pariama Sihaporas,2690050,2690050,3069000,87.65232975,1792725,1792725,3069000,58.41397849,2049575,2049575,3069000,66.78315412,4004275,4004275,3069000,130.4749104,2604250,2604250,3069000,84.85663082,2500575,2500575,3069000,81.47849462,2398550,2398550,3069000,78.15412186,1965150,1965150,3069000,64.03225806,1643400,1643400,3069000,53.5483871,2108425,2108425,3069000,68.70071685,2168100,2168100,3069000,70.64516129,4223450,4223450,3069000,137.6164875,2511025,2511025,2992241,83.91787293,1822425,1822425,2992241,60.90502069,3063775,3063775,2992241,102.3906497,2130425,2130425,2992241,71.19830923,2759900,2759900,2992241,92.23521768,0,0,2992241,0,0,0,2992241,0
847,Distrik V Sumatera Timur,Resort HKBP Perumnas Batu Onom,Huria HKBP Perumnas Batuonom,28591200,28591200,16879500,169.3841642,32458195,32458195,16879500,192.293581,34198670,34198670,16879500,202.6047572,56123870,56123870,16879500,332.4972304,43433500,43433500,16879500,257.3150863,41650235,41650235,16879500,246.7504073,40792675,40792675,16879500,241.6699251,32756405,32756405,16879500,194.0602802,32657405,32657405,16879500,193.47377,34315875,34315875,16879500,203.2991202,29005075,29005075,16879500,171.836103,70606525,70606525,16879500,418.297491,35822050,35822050,45986362,77.89711654,26293740,26293740,45986362,57.17725616,53985635,53985635,45986362,117.3948811,40611450,40611450,45986362,88.31194344,37884660,37884660,45986362,82.38238111,44520850,44520850,45986362,96.81315952,40918075,40918075,45986362,88.97871721
848,Distrik V Sumatera Timur,Resort HKBP Perumnas Batu Onom,Huria HKBP Janji Matogu,3349225,3349225,6138000,54.56541219,1465750,1465750,6138000,23.87992832,2293775,2293775,6138000,37.37007168,3258750,3258750,6138000,53.09139785,2347400,2347400,6138000,38.2437276,2628725,2628725,6138000,42.82706093,3331350,3331350,6138000,54.27419355,2953500,2953500,6138000,48.11827957,2964225,2964225,6138000,48.29301075,2885850,2885850,6138000,47.01612903,3328325,3328325,6138000,54.22491039,7247900,7247900,6138000,118.0824373,3259025,3259025,3097563,105.2125493,1657425,1657425,3097563,53.50738629,3098700,3098700,3097563,100.0367063,2591325,2591325,3097563,83.65689415,2656225,2656225,3097563,85.75208963,3496625,3496625,3097563,112.8830955,2757150,2757150,3097563,89.01029616
849,Distrik V Sumatera Timur,Resort HKBP Tigadolok,Huria HKBP Tigadolok,22444400,22444400,18414000,121.8876941,14724050,14724050,18414000,79.96117085,14233450,14233450,18414000,77.29689367,18610900,18610900,18414000,101.0692951,20860950,20860950,18414000,113.2885305,16820650,16820650,18414000,91.34707288,15174500,15174500,18414000,82.40740741,16072650,16072650,18414000,87.28494624,13979350,13979350,18414000,75.91696535,14924800,14924800,18414000,81.05137395,13901250,13901250,18414000,75.49283154,37952750,37952750,18414000,206.1081243,15152500,15152500,20170170,75.12331329,14492500,14492500,20170170,71.85115445,19507400,19507400,20170170,96.71410801,13449150,13449150,20170170,66.67841669,14108600,14108600,20170170,69.94784873,18951900,18951900,20170170,93.96004099,15977500,15977500,20170170,79.21351183
850,Distrik V Sumatera Timur,Resort HKBP Tigadolok,Huria HKBP Paliaputar,6409150,6409150,6138000,104.4175627,4298800,4298800,6138000,70.03584229,4686000,4686000,6138000,76.34408602,4895000,4895000,6138000,79.74910394,4147550,4147550,6138000,67.57168459,3390200,3390200,6138000,55.23297491,5289900,5289900,6138000,86.1827957,4094750,4094750,6138000,66.71146953,5913600,5913600,6138000,96.34408602,6371200,6371200,6138000,103.7992832,5193650,5193650,6138000,84.61469534,9831800,9831800,6138000,160.1792115,5546750,5546750,5492952,100.9794005,2567400,2567400,5492952,46.73989505,4271300,4271300,5492952,77.75964545,3700950,3700950,5492952,67.37633972,4773450,4366450,5492952,79.49186521,4477550,4477550,5492952,81.51445707,4640350,4175050,5492952,76.00740003
851,Distrik V Sumatera Timur,Resort HKBP Tigadolok,Huria HKBP Marihathuta,4092550,4092550,4603500,88.90083632,2571800,2571800,4603500,55.86618877,2334750,2334750,4603500,50.71684588,3560150,3560150,4603500,77.33572282,2050400,2050400,4603500,44.54002389,2593800,2593800,4603500,56.34408602,2487650,2487650,4603500,54.03823178,1989900,1989900,4603500,43.22580645,2044900,2044900,4603500,44.42054958,2582250,2582250,4603500,56.09318996,2655950,2655950,4603500,57.69414576,8079500,8079500,4603500,175.5077658,3008500,3008500,3266104,92.11280474,2737900,2737900,3266104,83.8277042,4123900,4123900,3266104,126.263585,2931500,2931500,3266104,89.7552558,2228050,2228050,3266104,68.21736234,2286900,2286900,3266104,70.01920331,2725800,2725800,3266104,83.45723223
852,Distrik V Sumatera Timur,Resort HKBP Tigadolok,Huria HKBP Pondokbulu,5265425,5265425,8286300,63.54374087,4864200,4864200,8286300,58.70171247,4888950,4888950,8286300,59.00039825,5339400,5339400,8286300,64.43647949,5512650,5512650,8286300,66.52727997,4832850,4832850,8286300,58.32337714,5889400,5889400,8286300,71.07394132,3696550,3696550,8286300,44.61038099,3655300,3655300,8286300,44.11257135,4803150,4803150,8286300,57.9649542,4845500,4845500,8286300,58.47603876,7640600,7640600,8286300,92.20761981,5312450,5312450,6069552,87.52622928,4453900,4453900,6069552,73.38103372,7467900,7467900,6069552,123.038735,3780700,3780700,6069552,62.28960556,5170000,5170000,6069552,85.17926859,6141300,6141300,6069552,101.1820971,3831300,3831300,6069552,63.123275
853,Distrik V Sumatera Timur,Resort HKBP Tigadolok,Huria HKBP Sintadame,3134450,3134450,3069000,102.1326165,971300,971300,3069000,31.64874552,1201200,1201200,3069000,39.13978495,3353900,3353900,3069000,109.2831541,1350318,1350318,3069000,43.99863148,1034000,1034000,3069000,33.69175627,1257850,1257850,3069000,40.98566308,1945350,1945350,3069000,63.38709677,1216600,1216600,3069000,39.64157706,1849650,1849650,3069000,60.2688172,1750650,1750650,3069000,57.04301075,2728000,2728000,3069000,88.88888889,1641750,1641750,2040665,80.45171549,1552925,1552925,2040665,76.09896774,2553925,2553925,2040665,125.151605,2162050,2162050,2040665,105.9483061,2159575,2159575,2040665,105.8270221,2077625,2077625,2040665,101.8111743,2149400,2149400,2040665,105.3284101
854,Distrik V Sumatera Timur,Resort HKBP Tigadolok,Huria HKBP Naga Dolok,2790700,2790700,3069000,90.93189964,1678875,1678875,3069000,54.70430108,1367575,1367575,3069000,44.5609319,1755875,1755875,3069000,57.21326165,1130250,956725,3069000,31.17383513,1169850,1169850,3069000,38.11827957,1265550,1265550,3069000,41.23655914,1008975,1008975,3069000,32.87634409,1248225,1248225,3069000,40.67204301,1540275,1540275,3069000,50.18817204,2667775,2667775,3069000,86.9265233,3436675,3436675,3069000,111.9802867,1719850,1719850,1822074,94.38968999,935825,935825,1822074,51.36042773,2812975,2812975,1822074,154.383137,1747900,1747900,1822074,95.92914448,1539725,1539725,1822074,84.50397734,2336675,2336675,1822074,128.2425961,1531475,1531475,1822074,84.0511966
855,Distrik V Sumatera Timur,Resort HKBP Tigadolok,Huria HKBP Siatasan,6505400,6505400,4603500,141.3142174,3331350,3331350,4603500,72.3655914,3054700,3054700,4603500,66.35603345,5352600,5352600,4603500,116.2724014,3070650,3070650,4603500,66.70250896,4153050,4153050,4603500,90.21505376,4192650,4192650,4603500,91.07526882,3195500,3195500,4603500,69.41457587,3482600,3482600,4603500,75.65113501,4354900,4354900,4603500,94.59976105,4146450,4146450,4603500,90.07168459,7444525,7444525,4603500,161.7144564,6224350,6224350,4919683,126.5193306,3690500,3690500,4919683,75.01499588,4713500,4713500,4919683,95.80901859,3570050,3570050,4919683,72.56666741,3634400,3634400,4919683,73.87467851,4565550,4565550,4919683,92.801711,3553000,3553000,4919683,72.22010036
856,Distrik V Sumatera Timur,Resort HKBP Sipanganbolon,Huria HKBP Sipanganbolon,15876300,15876300,16879500,94.05669599,8643800,8643800,16879500,51.20886282,12338700,12338700,16879500,73.09872923,17594500,17594500,16879500,104.2359075,10979100,10979100,16879500,65.04398827,11099275,11099275,16879500,65.75594656,13583350,13583350,16879500,80.4724666,9549650,9549650,16879500,56.57543174,9911550,9911550,16879500,58.71945259,12401400,12401400,16879500,73.47018573,9486950,9183900,16879500,54.40860215,27808550,26158550,16879500,154.9723037,17324450,17324450,14947112,115.9049989,8316275,8316275,14947112,55.63800552,20603000,20515550,14947112,137.2542736,14336850,14336850,14947112,95.91719123,13652650,13652650,14947112,91.33971833,17771875,17771875,14947112,118.8983865,13691150,12881550,14947112,86.18086223
857,Distrik V Sumatera Timur,Resort HKBP Sipanganbolon,Huria HKBP Immanuel Girsang,5952100,5952100,10741500,55.41218638,2153800,2153800,10741500,20.05120328,2696100,2696100,10741500,25.09984639,4241050,4241050,10741500,39.4828469,3952850,3952850,10741500,36.79979519,5031400,5031400,10741500,46.84075781,4667850,4667850,10741500,43.4562212,6492200,6492200,10741500,60.44034818,5905900,5905900,10741500,54.98207885,6685800,6685800,10741500,62.24270353,5936150,5097400,10741500,47.45519713,7697800,6320050,10741500,58.83768561,3369300,3369300,4306000,78.24663261,2943050,2943050,4306000,68.34765444,7838050,7838050,4306000,182.0262425,4551800,4551800,4306000,105.708314,3731200,3731200,4306000,86.65118439,4730550,4730550,4306000,109.8594984,3432550,3432550,4306000,79.71551324
858,Distrik V Sumatera Timur,Resort HKBP Hataran Jawa,Huria HKBP Hataran Jawa,10987900,10987900,8286300,132.6032125,6377525,6377525,8286300,76.9646887,9063175,9063175,8286300,109.3754148,10716200,10716200,8286300,129.3243064,8401250,8401250,8286300,101.3872295,8953450,8953450,8286300,108.0512412,9075000,9075000,8286300,109.5181203,8885250,8885250,8286300,107.2281959,9609600,9609600,8286300,115.9697332,9159150,9159150,8286300,110.5336519,7373850,7373850,8286300,88.98845082,18728050,18728050,8286300,226.0122129,11129800,11129800,10544914,105.5466171,6861800,6861800,10544914,65.07212861,10998350,10998350,10544914,104.3000446,8995250,8995250,10544914,85.30415706,11841500,11841500,10544914,112.2958423,10797600,10797600,10544914,102.3962832,7046600,7046600,10544914,66.82463224
859,Distrik V Sumatera Timur,Resort HKBP Hataran Jawa,Huria HKBP Maranata,4932400,4932400,6138000,80.35842294,2372150,2372150,6138000,38.64695341,3526050,3526050,6138000,57.44623656,3815350,3815350,6138000,62.15949821,4603500,4603500,6138000,75,5221700,5221700,6138000,85.07168459,9030450,9030450,6138000,147.1236559,3064050,3064050,6138000,49.91935484,2662000,2662000,6138000,43.36917563,3709750,3709750,6138000,60.4390681,4460500,4460500,6138000,72.6702509,6452050,6452050,6138000,105.1164875,5853650,5853650,4431482,132.092379,4159100,4159100,4431482,93.85347836,4987950,4987950,4431482,112.5571536,2173600,2173600,4431482,49.04905402,3282950,3282950,4431482,74.08244014,4739350,4739350,4431482,106.9472921,2710950,2710950,4431482,61.17479435
860,Distrik V Sumatera Timur,Resort HKBP Hataran Jawa,Huria HKBP Pagar Jawa,1989900,1989900,4603500,43.22580645,1310100,1310100,4603500,28.45878136,1643950,1643950,4603500,35.71087216,1540550,1540550,4603500,33.46475508,2988700,2988700,4603500,64.9223417,1183600,1183600,4603500,25.71087216,1706650,1706650,4603500,37.07287933,1354650,1354650,4603500,29.4265233,1054900,1054900,4603500,22.91517324,1499850,1499850,4603500,32.58064516,1140150,1140150,4603500,24.76702509,2649900,2649900,4603500,57.56272401,1727000,1727000,2050689,84.21559778,1305150,1305150,2050689,63.64446291,2222000,2222000,2050689,108.3538264,2142800,2142800,2050689,104.4917099,1749550,1749550,2050689,85.3152282,2228600,2228600,2050689,108.6756695,1198450,1198450,2050689,58.44133362
861,Distrik V Sumatera Timur,Resort HKBP Hataran Jawa,Huria HKBP Sosor Nauli,5728800,5728800,4603500,124.4444444,2461250,2461250,4603500,53.46475508,3414400,3414400,4603500,74.16965352,3671250,3671250,4603500,79.74910394,3005200,3005200,4603500,65.28076464,3240050,3240050,4603500,70.3823178,5404850,5404850,4603500,117.4074074,3309900,3309900,4603500,71.89964158,3506250,3506250,4603500,76.16487455,3576100,3576100,4603500,77.68219833,3157550,3157550,4603500,68.59020311,7105450,7105450,4603500,154.348865,4206400,4206400,4466103,94.18501992,2396404,2396404,4466103,53.65760709,4898300,4898300,4466103,109.6772735,3007950,3007950,4466103,67.35066343,4992900,4992900,4466103,111.7954512,3600300,3600300,4466103,80.61390434,3215300,3215300,4466103,71.9934135
862,Distrik V Sumatera Timur,Resort HKBP Hataran Jawa,Huria HKBP Siku Pardamean,6624750,6624750,1534500,431.7204301,2407900,2407900,1534500,156.9175627,2334200,2334200,1534500,152.1146953,3303300,3303300,1534500,215.2688172,2531650,2531650,1534500,164.9820789,2631750,2631750,1534500,171.5053763,4519350,4519350,1534500,294.516129,2382050,2382050,1534500,155.2329749,2644400,2644400,1534500,172.3297491,2396350,2396350,1534500,156.1648746,3380300,3380300,1534500,220.2867384,7095550,7095550,1534500,462.4014337,5015450,5015450,4039343,124.1649942,2225300,2225300,4039343,55.09064222,3247200,3247200,4039343,80.38931084,3028850,3028850,4039343,74.98372879,3743300,3743300,4039343,92.6710111,2358950,2358950,4039343,58.39934861,4183850,4183850,4039343,103.5774877
863,Distrik V Sumatera Timur,Resort HKBP Hataran Jawa,Huria HKBP Saut Pardamean,3828000,3828000,3069000,124.7311828,1470700,1470700,3069000,47.92114695,940500,940500,3069000,30.64516129,1964050,1964050,3069000,63.99641577,1096150,1096150,3069000,35.71684588,1912900,1912900,3069000,62.3297491,2102650,2102650,3069000,68.5125448,2706000,2706000,3069000,88.17204301,2718650,2718650,3069000,88.58422939,2844050,2844050,3069000,92.6702509,1812250,1812250,3069000,59.05017921,3688850,3688850,3069000,120.1971326,2011900,2011900,2208511,91.0975766,1222100,1222100,2208511,55.33592543,1653850,1653850,2208511,74.88529602,1237500,1237500,2208511,56.03322782,1301300,1301300,2208511,58.92205201,2454100,2454100,2208511,111.1201167,1422300,1422300,2208511,64.4008565
864,Distrik V Sumatera Timur,Resort HKBP Hataran Jawa,Huria HKBP Nagasaribu,543950,543950,3069000,17.72401434,352000,352000,3069000,11.46953405,295900,295900,3069000,9.641577061,717750,717750,3069000,23.38709677,1309550,1309550,3069000,42.6702509,485100,485100,3069000,15.80645161,451000,451000,3069000,14.6953405,408100,408100,3069000,13.29749104,361900,361900,3069000,11.7921147,386100,386100,3069000,12.58064516,324500,324500,3069000,10.5734767,1266100,1266100,3069000,41.25448029,566500,566500,689219,82.1944839,426250,426250,689219,61.8453641,704000,704000,689219,102.1446014,459800,459800,689219,66.71319276,642950,642950,689219,93.2867492,772200,772200,689219,112.0398596,351450,351450,689219,50.99250021
